LEAID,LEA_NAME,LEA_TYPE_TEXT,STABR,STATENAME,LCITY,LSTATE,LZIP,GSLO,GSHI,AGCHRT,SCH,TOTTCH,TOTGUI,MEMBER,AM,AS,HI,BL,WH,HP,TR
3700035,Orange Charter,Independent Charter District,NC,NORTH CAROLINA,Hillsborough,NC,27278,KG,8,1,1,27,1,237,0,4,13,9,199,0,12
3700354,The Expedition School,Independent Charter District,NC,NORTH CAROLINA,Hillsborough,NC,27278,KG,7,1,1,21,0,290,0,4,11,4,255,0,16
3703480,Orange County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Hillsborough,NC,27278,PK,12,3,13,551,23,7627,24,88,1515,1190,4514,6,290
3700325,The College Preparatory and Leadership A,Independent Charter District,NC,NORTH CAROLINA,Jamestown,NC,27282,KG,8,1,1,10,1,451,1,0,10,418,2,4,16
3700343,The North Carolina Leadership Academy,Independent Charter District,NC,NORTH CAROLINA,Kernersville,NC,27284,KG,11,1,1,37,1,642,1,10,43,21,550,5,12
3703990,Rockingham County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Eden,NC,27288,PK,13,3,25,801,40,12835,39,81,1661,2444,7952,9,649
3701140,Davidson County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Lexington,NC,27292,PK,13,3,36,1201,56,19505,63,246,1623,677,16428,9,459
3702640,Lexington City Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Lexington,NC,27292,PK,12,3,7,207,10,3161,14,147,1059,930,801,5,205
3700750,Chatham County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Pittsboro,NC,27312,PK,12,3,18,592,21,8690,22,95,2657,1041,4506,1,368
3700110,Bethany Community Middle,Independent Charter District,NC,NORTH CAROLINA,Reidsville,NC,27320,6,8,1,1,14,0,248,0,1,16,18,200,0,13
3702560,Lee County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Sanford,NC,27330,PK,13,3,16,651,23,10231,71,83,3462,2191,4100,5,319
3700132,The Hawbridge School,Independent Charter District,NC,NORTH CAROLINA,Saxapahaw,NC,27340,5,12,1,1,24,1,317,0,5,6,15,270,0,21
3700020,Chatham Charter,Independent Charter District,NC,NORTH CAROLINA,Siler City,NC,27344,KG,12,1,1,35,1,532,0,0,23,61,419,0,29
3700344,Summerfield Charter Academy,Independent Charter District,NC,NORTH CAROLINA,Summerfield,NC,27358,KG,8,1,1,34,0,740,6,89,38,74,532,0,1
